# ------------------------------------------------------------------------------
#+ Autor:	Ran#
#+ Creado:	15/03/2020 14:37:28
#+ Editado:	2022/10/07 16:09:02.699027
# ------------------------------------------------------------------------------
# LEGEND:
# Identifier    -> Identifier of the program.
# Name          -> Name of the program (dont put any commas inside or the package wont install).
# Distro        -> Especial distro in which its installable under that name (empty non distro dependant).
# Repository    -> In which place it can be found (empty standard repository)
# ------------------------------------------------------------------------------

# IDENTIFIER, NAME, DISTRO, REPOSITORY

# ******* #
# GENERAL #
# ******* #

#dia,"Dia Diagram Editor",,
alacritty,"Alacritty",,
calcurse,"Calcurse",,
chafa,"Chafa",,
cmatrix,"CMatrix",,
dos2unix,"dos2unix",,
dosfstools,"dosfstools",,
enscript,"enscript",,
erlang,"Erlang",,
ffmpeg,"FFmpeg",,
figlet,"FIGlet",,
gimp,"Gimp",,
hugo,"HUGO",,
ipython,"iPython",,
jq,"jq",,
libnotify,"libnotify",,
lynx,"Lynx",,
mlocate,"mlocate (locate/updatedb)",,
mpv,"mpv",,
neofetch,"Neofetch",,
neovim,"Neovim",,
noto-fonts-emoji,"Google's Emojis",,
pandoc,"Pandoc",,
pdftk,"PDFtk",,
poppler,"Poppler",,
posterazor,"PosteRazor",,
ranger,"Ranger",,
rename,"rename",Debian,
slock,"SLock",,
speedtest-cli,"Speedtest CLI",,
sqlitebrowser,"SQLite Browser",,
sxhkd,"sxhkd",,
sxiv,"sxiv",,
telegram-desktop,"Telegram",,
texlive-full,"TeX Live",Debian,
tree,"tree",,
unicode-emoji,"Unicode's Emojis",,
xclip,"xclip",,
xorg-xdpyinfo,"xdpyinfo",,
xwallpaper,"XWallpaper",,
youtube-dl,"youtube-dl",,
zathura,"Zathura",,
zathura-pdf-mupdf,"Zathura (pdf|mupdf)",,
python-pip,"pip",,

# ********** #
# Arch Based #
# ********** #

mkvtoolnix-cli,"MKVToolNix",ArcoLinux|Manjaro,
mkvtoolnix-gui,"MKVToolNix GUI",ArcoLinux|Manjaro,
p7zip,"7-Zip",ArcoLinux|Manjaro,
perl-rename,"rename",ArcoLinux|Manjaro,
texlive-lang,"TeX Live (Langs)",ArcoLinux|Manjaro,
texlive-most,"TeX Live",ArcoLinux|Manjaro,
yay,"yay",ArcoLinux|Manjaro,

## *** ##
## AUR ##
## *** ##

#rambox-bin,"Rambox",ArcoLinux|Manjaro,AUR
#rambox-bin,"Rambox",,AUR

# ****** #
# Python #
# ****** #

pipreqs,"pipreqs",,PIP
uteis,"uteis",,PIP
